nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Barri,,hamlet,,,42.9804297,12.8223471,11022303431,,
Bartocciami,,hamlet,,,43.0805574,12.1550536,12704618949,,
Baschi,,village,,,42.6702835,12.2161353,68507845,it:Baschi (Italia),Q6303
Baschi Scalo,,hamlet,,,42.6917246,12.2000229,1778014506,,Q18494476
Bastardo,,village,,,42.8701552,12.5595378,459470776,it:Bastardo (Giano dell'Umbria),Q1132242
Battiferro,,hamlet,,,42.619237,12.6975408,564978950,it:Battiferro,Q2653588
Battifosso,,hamlet,,,43.4527568,12.3006997,5840227215,,
Baucca,,hamlet,,,43.4363489,12.2645362,747737733,,Q18492175
Bazzano Inferiore,,hamlet,,,42.7764342,12.7884851,3876649784,,
Bazzano Superiore,,hamlet,,,42.7796799,12.7977398,3876649785,,
Belardello,,hamlet,,,43.3681681,12.4924049,4001259779,,Q18492181
Belfiore,,village,,,42.9830482,12.7520737,4102103341,it:Belfiore (Foligno),Q1964261
Bellocchio,,hamlet,,,42.7081928,11.9887129,317003748,,Q18494482
Bellugello,,hamlet,,,43.221747,12.56646,312446643,,Q18492183
Belvedere,,hamlet,,,43.2206921,12.5399029,312446647,,
Belvedere,,hamlet,,,42.6454838,12.7569295,649280225,,
Belvedere,,hamlet,,,42.7619663,12.5232394,650720873,,
Belvedere,,hamlet,,,43.3836827,12.659329,2246148250,,
Belvedere,,hamlet,,,43.4776266,12.266494,3978356818,,
Belvedere,,hamlet,,,42.9132258,12.6376219,4005500480,,
Benano,,hamlet,,,42.7349483,12.0066933,317003749,,Q18494485
Beroide,,hamlet,,,42.8273921,12.7244323,650721758,it:Beroide,Q2113451
Bettona,,village,,,43.013614,12.4847565,68507661,it:Bettona,Q20143
Bevagna,,village,,,42.9340752,12.6091209,4680473788,it:Bevagna,Q20144
Biagiano,,hamlet,,,43.0999618,12.5957091,3846406249,,
Binami,,hamlet,,,43.0950994,11.9321282,3966944873,,Q18492190
Bivio Barattano,,hamlet,,,42.8579176,12.5052259,3997800423,,Q18492192
Bivio Canale,,hamlet,,,42.7137404,12.1209014,317003750,,Q18494488
Bivio Canoscio,,hamlet,,,43.3724159,12.2079246,747742356,,Q15199517
Bivio Cerquiglino,,hamlet,,,42.9282251,12.4876039,3880534150,,Q18492195
Bivio Corsica,,hamlet,,,42.6791279,12.0674336,317003751,,Q18494491
Bivio Lugnano,,hamlet,,,43.3745384,12.2005353,747742350,,
Bivio Moscardini,,hamlet,,,42.8531021,12.6121772,2136936866,,Q18492198
Bivio Pomonte,,hamlet,,,42.9225356,12.5041048,3997800424,,Q18492200
Bivio Pozzo,,hamlet,,,42.8926233,12.5166604,3935942329,,Q18492201
Bivio Torri,,hamlet,,,42.8691339,12.4830649,3949970703,,Q18492203
Bonaverna,,hamlet,,,43.4972734,12.238469,760181806,,
Boneggio,,hamlet,,,43.0566226,12.3635999,4022428446,,Q18492204
Bonsciano,,hamlet,,,43.3527225,12.2065884,747742313,it:Bonsciano,Q18492206
Borgaria,,hamlet,,,42.4829954,12.5042519,3913173496,it:Borgaria,Q3642444
Borgarucci,,hamlet,,,43.0296719,12.073341,1296554134,,Q18492208
Borghetto,,hamlet,,,42.978274,12.0906405,1296554107,,
Borghetto,,village,,,43.1868695,12.0239291,3727244940,it:Borghetto (Tuoro sul Trasimeno),Q18492210
Borghetto,,hamlet,,,42.8519544,12.680677,4005500481,,
Borgiano,,hamlet,,,42.7356491,12.783911,3736431569,,Q18492212
Borgo Cerreto,,hamlet,,,42.8150034,12.9152755,469755846,,
Borgo Collestrada,,hamlet,,,43.0853883,12.4726704,4022428451,it:Collestrada,Q3683009
Borgo Hescana,,hamlet,,,42.6996295,12.0785561,317003823,,Q18510556
Borgo II,,hamlet,,,42.8288177,12.6969567,650721756,,Q18492216
Borgo Lizori,,hamlet,,,42.8428103,12.7596862,3655824856,,
